City,Country,City Latitude,City Longitude,Max Temperature(C),Humidity(%),Wind Speed(mps),Cloud Coverage(%),CityDateTime
san ramon,BO,-15.107330809728126,-63.898265208471926,18.0,63.0,2.1,1.0,2020-04-10 18:10:42
masuguru,TZ,-11.941789352112323,38.83503924887842,22.87,88.0,1.38,21.0,2020-04-10 18:10:43
aranos,NA,-24.469807245502068,19.66604949512879,26.0,27.0,5.26,40.0,2020-04-10 18:10:43
marsh harbour,BS,28.764900534314464,-77.22237276112315,26.36,79.0,7.3,11.0,2020-04-10 18:10:43
mata,CN,20.416338302914625,111.87192251924961,15.0,82.0,2.24,58.0,2020-04-10 18:10:43
vaitape,PF,-16.62433299962828,-155.4605964276252,28.53,78.0,4.61,43.0,2020-04-10 18:10:43
lashio,MM,21.823304386382915,98.91067830930871,18.6,47.0,0.65,30.0,2020-04-10 18:10:43
lhokseumawe,ID,5.039552283869071,97.36391701504152,26.11,81.0,1.57,99.0,2020-04-10 18:10:43
kaili,CN,27.325593965669043,107.69132516477333,22.51,69.0,1.19,85.0,2020-04-10 18:10:44
north bend,US,42.19851877336518,-133.59410599536653,11.11,87.0,2.6,90.0,2020-04-10 18:08:37
civitanova marche,IT,43.37226364345602,13.725662291401818,17.0,33.0,0.5,0.0,2020-04-10 18:10:44
meiganga,CM,6.63779216677186,14.30658115780335,22.28,58.0,1.86,90.0,2020-04-10 18:07:04
chifeng,CN,44.85253847070493,117.45148827294486,5.64,40.0,4.41,0.0,2020-04-10 18:10:44
veraval,IN,15.857438061387967,67.34655190202977,25.34,67.0,4.99,0.0,2020-04-10 18:10:44
camacha,PT,35.41990346052641,-16.469514853964483,20.0,68.0,5.1,40.0,2020-04-10 18:10:44
la union,ES,37.14012326847421,-0.31800273816438107,27.4,60.0,4.48,42.0,2020-04-10 18:10:44
souillac,MU,-50.31571769553803,75.29193203169035,26.0,78.0,6.2,40.0,2020-04-10 18:10:44
laguna,BR,-28.617119621684225,-48.39449980743893,18.33,63.0,1.5,1.0,2020-04-10 18:07:52
atakpame,TG,7.513523251285079,1.6052484098184436,30.18,43.0,1.09,55.0,2020-04-10 18:10:45
rayong,TH,12.280531550785355,101.10353508069102,29.0,74.0,2.6,20.0,2020-04-10 18:06:42
cajamarca,PE,-7.096896699705198,-78.40421285269872,22.0,53.0,2.1,40.0,2020-04-10 18:10:45
qasigiannguit,GL,66.93648650776379,-48.87764532529306,2.0,55.0,2.6,20.0,2020-04-10 18:10:45
naze,JP,22.310763247213302,135.50367914778514,13.0,87.0,1.5,22.0,2020-04-10 18:10:45
amarante,PT,41.32906624350238,-8.02221266864629,31.61,61.0,1.55,100.0,2020-04-10 18:10:45
kokoda,PG,-9.034050923316997,147.4583355153016,23.26,63.0,0.41,97.0,2020-04-10 18:10:45
lincoln,GB,53.152986748071214,-0.6403091473350173,9.44,31.0,5.1,20.0,2020-04-10 18:06:05
san policarpo,PH,14.817006606026638,131.23252853716667,26.86,74.0,3.21,32.0,2020-04-10 18:10:46
konevo,RU,62.37886700171617,38.93943556338567,-4.69,94.0,1.63,92.0,2020-04-10 18:10:46
khrebtovaya,RU,56.73062118175474,104.10897923045883,-0.06,82.0,1.52,76.0,2020-04-10 18:10:46
canmore,CA,50.8649689170681,-115.53842597036078,0.56,92.0,5.7,90.0,2020-04-10 18:02:36
brigantine,US,36.109601902469876,-70.92728024562834,10.56,45.0,10.3,75.0,2020-04-10 18:10:46
saint-francois,GP,22.823828838650726,-46.67487414589266,22.0,35.0,1.5,1.0,2020-04-10 18:10:46
pampas,PE,-12.299648171593859,-75.07526578161786,17.46,20.0,2.64,74.0,2020-04-10 18:10:46
buraydah,SA,25.154492916942843,43.35968481956229,27.0,28.0,1.5,40.0,2020-04-10 18:05:54
umm lajj,SA,24.50653256313231,35.24407832324644,22.76,36.0,5.94,20.0,2020-04-10 18:09:10
khromtau,KZ,50.37811355375527,58.62431300134202,4.51,59.0,3.04,39.0,2020-04-10 18:10:47
chiang khong,TH,20.45723075936266,100.84826778457489,24.44,69.0,0.34,68.0,2020-04-10 18:10:47
albury,AU,-35.667399535333864,146.76413827349347,15.0,87.0,2.6,44.0,2020-04-10 18:10:47
cradock,ZA,-32.13283796535701,25.103125147944525,20.41,43.0,4.24,98.0,2020-04-10 18:10:47
shihezi,CN,43.650421452320245,85.58049361964964,9.7,41.0,2.84,100.0,2020-04-10 18:10:47
pacific grove,US,29.483910269508726,-133.17124050397405,16.67,77.0,3.1,75.0,2020-04-10 18:10:47
flin flon,CA,62.91860710825338,-101.80745598053403,-2.0,86.0,2.1,90.0,2020-04-10 18:10:47
palora,EC,-1.8829124903034824,-77.04555614438436,31.0,55.0,0.37,75.0,2020-04-10 18:10:47
saint-pierre,PM,37.61486532410379,-52.26443922554296,26.0,74.0,7.2,20.0,2020-04-10 18:08:17
ambovombe,MG,-29.596969339058226,47.08087339803561,22.33,81.0,8.79,26.0,2020-04-10 18:10:47
ulladulla,AU,-39.197570234585726,157.77064231746516,17.22,63.0,7.7,0.0,2020-04-10 18:10:48
bilma,NE,18.991874701206854,15.481056172188886,30.14,12.0,3.99,9.0,2020-04-10 18:10:48
